2024-11-03 09:34:59,498 - 0,Miscellaneous,49234
2024-11-03 09:35:00,051 - 0,Miscellaneous,49230
2024-11-03 09:35:00,600 - 0,Miscellaneous,50368
2024-11-03 09:35:01,106 - 0,Miscellaneous,48330
2024-11-03 09:35:02,754 - 0,Miscellaneous,53637
2024-11-03 09:35:03,304 - 0,Miscellaneous,53476
2024-11-03 09:35:03,858 - 0,Miscellaneous,53444
2024-11-03 09:35:04,357 - 0,Miscellaneous,56543
2024-11-03 09:35:07,221 - 0,Miscellaneous,43602
2024-11-03 09:35:07,770 - 0,Miscellaneous,43313
2024-11-03 09:35:08,318 - 0,Miscellaneous,37886
2024-11-03 09:35:08,871 - 0,Miscellaneous,53388
2024-11-03 09:35:09,422 - 0,Miscellaneous,52863
2024-11-03 09:35:09,972 - 0,Miscellaneous,43589
2024-11-03 09:35:10,520 - 0,Miscellaneous,48776
2024-11-03 09:35:11,073 - 0,Miscellaneous,48453
2024-11-03 09:35:12,732 - 0,Miscellaneous,39423
2024-11-03 09:35:13,284 - 0,Miscellaneous,38009
2024-11-03 09:35:13,836 - 0,Miscellaneous,37227
2024-11-03 09:35:17,150 - 0,Miscellaneous,43687
2024-11-03 09:35:17,710 - 0,Miscellaneous,6155
2024-11-03 09:35:18,261 - 0,Miscellaneous,42440
2024-11-03 09:35:18,763 - 0,Miscellaneous,53921
2024-11-03 09:35:19,266 - 0,Miscellaneous,53923
2024-11-03 09:35:19,766 - 0,Miscellaneous,53925
2024-11-03 09:35:20,268 - 0,Miscellaneous,55524
2024-11-03 09:35:20,821 - 0,Miscellaneous,55540
2024-11-03 09:35:22,475 - 0,Miscellaneous,55512
2024-11-03 09:35:23,024 - 0,Miscellaneous,55532
2024-11-03 09:35:23,574 - 0,Miscellaneous,55504
2024-11-03 09:35:27,386 - 0,Miscellaneous,33934
2024-11-03 09:35:27,939 - 0,Miscellaneous,48343
2024-11-03 09:35:28,488 - 0,Miscellaneous,33944
2024-11-03 09:35:28,992 - 0,Miscellaneous,33940
2024-11-03 09:35:29,545 - 0,Miscellaneous,33946
2024-11-03 09:35:30,098 - 0,Miscellaneous,33942
2024-11-03 09:35:30,646 - 0,Miscellaneous,33938
2024-11-03 09:35:31,147 - 0,Miscellaneous,33948
2024-11-03 09:35:32,760 - 0,Miscellaneous,33950
2024-11-03 09:35:33,303 - 0,Miscellaneous,33952
2024-11-03 09:35:33,856 - 0,Miscellaneous,33954
2024-11-03 09:35:37,271 - 0,Miscellaneous,50633
2024-11-03 09:35:37,772 - 0,Miscellaneous,42426
2024-11-03 09:35:38,322 - 0,Miscellaneous,42418
2024-11-03 09:35:38,874 - 0,Miscellaneous,57544
2024-11-03 09:35:39,426 - 0,Miscellaneous,55336
2024-11-03 09:35:39,978 - 0,Miscellaneous,56846
2024-11-03 09:35:40,482 - 0,Miscellaneous,47549
2024-11-03 09:35:41,040 - 0,Miscellaneous,31312
2024-11-03 09:35:42,861 - 0,Miscellaneous,54913
2024-11-03 09:35:43,469 - 0,Miscellaneous,51718
2024-11-03 09:35:44,020 - 0,Miscellaneous,51714
2024-11-03 09:35:47,231 - 0,Miscellaneous,15324
2024-11-03 09:35:47,781 - 0,Miscellaneous,15315
2024-11-03 09:35:48,335 - 0,Miscellaneous,15314
