username,skill,experience,level,rank,time_retrieved
CloudGiraffe,Constitution,37823062,109,136955,2024-11-15 03:11:50
CloudGiraffe,Ranged,16035100,101,171147,2024-11-15 03:11:50
CloudGiraffe,Prayer,17774633,102,81892,2024-11-15 03:11:50
CloudGiraffe,Magic,18232072,102,157697,2024-11-15 03:11:50
CloudGiraffe,Cooking,15524368,100,106488,2024-11-15 03:11:50
CloudGiraffe,Woodcutting,16646375,101,106116,2024-11-15 03:11:50
CloudGiraffe,Fletching,17949108,102,64933,2024-11-15 03:11:50
CloudGiraffe,Fishing,16873578,101,136638,2024-11-15 03:11:50
CloudGiraffe,Firemaking,21540753,104,77650,2024-11-15 03:11:50
CloudGiraffe,Crafting,17801234,102,84626,2024-11-15 03:11:50
CloudGiraffe,Smithing,29925785,107,58284,2024-11-15 03:11:50
CloudGiraffe,Mining,39230760,110,62815,2024-11-15 03:11:50
CloudGiraffe,Herblore,105805932,120,67642,2024-11-15 03:11:50
CloudGiraffe,Agility,19676513,103,85242,2024-11-15 03:11:50
CloudGiraffe,Thieving,24455567,105,74613,2024-11-15 03:11:50
CloudGiraffe,Slayer,48312006,112,101861,2024-11-15 03:11:50
CloudGiraffe,Farming,89433447,118,75095,2024-11-15 03:11:50
CloudGiraffe,Runecrafting,15468516,100,82697,2024-11-15 03:11:50
CloudGiraffe,Hunter,14021328,99,137124,2024-11-15 03:11:50
CloudGiraffe,Construction,18514060,102,76181,2024-11-15 03:11:50
CloudGiraffe,Summoning,18479717,102,62658,2024-11-15 03:11:50
CloudGiraffe,Dungeoneering,105434643,120,60927,2024-11-15 03:11:50
CloudGiraffe,Divination,15469612,100,103140,2024-11-15 03:11:50
CloudGiraffe,Invention,109972954,129,66765,2024-11-15 03:11:50
CloudGiraffe,Archaeology,104933316,120,80563,2024-11-15 03:11:50
CloudGiraffe,Necromancy,40178243,110,73745,2024-11-15 03:11:50
IROneManClan,Overall,203892489,2525,230920,2024-11-15 03:11:50
IROneManClan,Attack,1646659,78,479361,2024-11-15 03:11:50
IROneManClan,Defence,9417576,95,307546,2024-11-15 03:11:50
IROneManClan,Strength,1589683,77,508319,2024-11-15 03:11:50
IROneManClan,Constitution,6398999,91,376274,2024-11-15 03:11:50
IROneManClan,Ranged,1257885,75,472102,2024-11-15 03:11:50
IROneManClan,Prayer,13291949,99,210816,2024-11-15 03:11:50
IROneManClan,Magic,2710340,83,427809,2024-11-15 03:11:50
IROneManClan,Cooking,4592808,88,300972,2024-11-15 03:11:50
IROneManClan,Woodcutting,1346727,76,503713,2024-11-15 03:11:50
IROneManClan,Fletching,3729884,86,314146,2024-11-15 03:11:50
IROneManClan,Fishing,1374094,76,405954,2024-11-15 03:11:50
